Number of words,1917163
Number of unique words,15608
Average word frequency,122.832073
Entropy,6.701858

Word,Frequency,Proportion,Entropy Term
country,1285,0.000670,0.004898
recognized,14,0.000007,0.000086
least,424,0.000221,0.001861
member,183,0.000095,0.000884
boris,110,0.000057,0.000560
yeltsin,140,0.000073,0.000696
hospital,162,0.000084,0.000793
diet,64,0.000033,0.000344
news,3734,0.001948,0.012156
tonight,963,0.000502,0.003816
said,12256,0.006393,0.032300
sleeping,91,0.000047,0.000473
less,354,0.000185,0.001587
mood,53,0.000028,0.000290
more,3222,0.001681,0.010737
tense,37,0.000019,0.000210
smile,25,0.000013,0.000147
laugh,34,0.000018,0.000194
much,1207,0.000630,0.004640
think,3820,0.001993,0.012390
condition,67,0.000035,0.000359
known,264,0.000138,0.001224
being,1728,0.000901,0.006320
cnn,300,0.000156,0.001371
reporting,196,0.000102,0.000939
bracing,5,0.000003,0.000034
possible,155,0.000081,0.000762
indictment,7,0.000004,0.000046
wife,955,0.000498,0.003788
hillary,3823,0.001994,0.012398
yeah,5026,0.002622,0.015583
imagine,248,0.000129,0.001158
gets,617,0.000322,0.002588
indicted,63,0.000033,0.000339
worry,284,0.000148,0.001306
reelected,58,0.000030,0.000315
jail,160,0.000083,0.000784
look,1326,0.000692,0.005033
mtv,35,0.000018,0.000199
beach,141,0.000074,0.000700
george,1949,0.001017,0.007006
stephanopoulos,20,0.000010,0.000120
resigned,165,0.000086,0.000806
clintons,1123,0.000586,0.004360
top,1062,0.000554,0.004154
aides,70,0.000037,0.000373
visiting,143,0.000075,0.000709
professor,47,0.000025,0.000260
university,231,0.000120,0.001087
title,107,0.000056,0.000547
im,3188,0.001663,0.010641
familiar,49,0.000026,0.000270
when,5907,0.003081,0.017816
went,1598,0.000834,0.005910
college,293,0.000153,0.001343
big,3122,0.001628,0.010455
madeleine,21,0.000011,0.000125
albright,25,0.000013,0.000147
chosen,67,0.000035,0.000359
secretary,694,0.000362,0.002868
state,1486,0.000775,0.005552
which,2685,0.001401,0.009203
highest,94,0.000049,0.000487
ranking,12,0.000006,0.000075
but,6486,0.003383,0.019246
ill,599,0.000312,0.002522
tell,1684,0.000878,0.006182
though,540,0.000282,0.002303
still,1892,0.000987,0.006830
male,79,0.000041,0.000416
sexist,14,0.000007,0.000086
happening,88,0.000046,0.000459
mean,1598,0.000834,0.005910
named,524,0.000273,0.002243
high,584,0.000305,0.002466
post,299,0.000156,0.001367
lost,553,0.000288,0.002351
voice,82,0.000043,0.000430
got,4208,0.002195,0.013436
laryngitis,12,0.000006,0.000075
cant,1576,0.000822,0.005840
talk,738,0.000385,0.003027
own,835,0.000436,0.003371
personal,182,0.000095,0.000879
physician,9,0.000005,0.000058
told,1390,0.000725,0.005241
stop,556,0.000290,0.002362
talking,984,0.000513,0.003888
doctors,234,0.000122,0.001100
come,1271,0.000663,0.004852
must,294,0.000153,0.001347
hadnt,70,0.000037,0.000373
many,1096,0.000572,0.004269
shut,298,0.000155,0.001363
since,1051,0.000548,0.004116
came,944,0.000492,0.003750
health,336,0.000175,0.001516
care,359,0.000187,0.001607
plan,929,0.000485,0.003698
years,2187,0.001141,0.007730
former,1533,0.000800,0.005702
vice,1247,0.000650,0.004773
dan,331,0.000173,0.001496
quayle,220,0.000115,0.001041
gearing,12,0.000006,0.000075
run,1021,0.000533,0.004014
year,1675,0.000874,0.006153
yep,77,0.000040,0.000407
fact,2370,0.001236,0.008277
serious,253,0.000132,0.001179
preparation,17,0.000009,0.000103
moved,173,0.000090,0.000840
indianapolis,23,0.000012,0.000136
arizona,195,0.000102,0.000935
reasons,123,0.000064,0.000619
just,5343,0.002787,0.016395
easier,98,0.000051,0.000505
build,172,0.000090,0.000836
lego,5,0.000003,0.000034
fireman,4,0.000002,0.000027
either,270,0.000141,0.001249
sources,61,0.000032,0.000329
close,388,0.000202,0.001721
large,104,0.000054,0.000533
lot,2002,0.001044,0.007168
wanting,12,0.000006,0.000075
called,1981,0.001033,0.007104
well,5605,0.002924,0.017059
