Number of words,1917163
Number of unique words,15608
Average word frequency,122.832073
Entropy,6.701858

Word,Frequency,Proportion,Entropy Term
rioting,27,0.000014,0.000157
looting,29,0.000015,0.000168
indonesia,16,0.000008,0.000098
rodney,6,0.000003,0.000040
debates,226,0.000118,0.001066
direct,31,0.000016,0.000178
link,13,0.000007,0.000081
admitting,27,0.000014,0.000157
wells,14,0.000007,0.000086
twins,53,0.000028,0.000290
mandatory,13,0.000007,0.000081
limits,13,0.000007,0.000081
causing,51,0.000027,0.000280
nevada,68,0.000035,0.000363
goldberg,8,0.000004,0.000052
slightly,41,0.000021,0.000230
rye,6,0.000003,0.000040
godzilla,6,0.000003,0.000040
coldblooded,3,0.000002,0.000021
reptile,3,0.000002,0.000021
powerball,11,0.000006,0.000069
gripped,4,0.000002,0.000027
jackpot,8,0.000004,0.000052
satellite,67,0.000035,0.000359
undo,5,0.000003,0.000034
export,8,0.000004,0.000052
abandoning,3,0.000002,0.000021
unpopular,53,0.000028,0.000290
deaf,4,0.000002,0.000027
questioned,27,0.000014,0.000157
recommend,12,0.000006,0.000075
complaints,25,0.000013,0.000147
colombia,37,0.000019,0.000210
rubbing,13,0.000007,0.000081
classmates,11,0.000006,0.000069
astronomers,12,0.000006,0.000075
galaxy,6,0.000003,0.000040
answers,63,0.000033,0.000339
banged,18,0.000009,0.000109
clumsy,5,0.000003,0.000034
ankles,9,0.000005,0.000058
highpowered,4,0.000002,0.000027
plato,4,0.000002,0.000027
jake,9,0.000005,0.000058
stein,10,0.000005,0.000063
appearing,52,0.000027,0.000285
margaritas,10,0.000005,0.000063
loser,30,0.000016,0.000173
newcomer,4,0.000002,0.000027
disappointing,18,0.000009,0.000109
accomplished,41,0.000021,0.000230
development,30,0.000016,0.000173
houston,50,0.000026,0.000275
oakland,14,0.000007,0.000086
merely,5,0.000003,0.000034
caffeine,7,0.000004,0.000046
sober,12,0.000006,0.000075
prays,7,0.000004,0.000046
multimillionaire,7,0.000004,0.000046
wounds,8,0.000004,0.000052
distracting,5,0.000003,0.000034
fetch,8,0.000004,0.000052
bypass,29,0.000015,0.000168
massacre,5,0.000003,0.000034
spite,7,0.000004,0.000046
lojack,4,0.000002,0.000027
mit,3,0.000002,0.000021
cambridge,4,0.000002,0.000027
wyoming,24,0.000013,0.000141
vendors,6,0.000003,0.000040
carts,3,0.000002,0.000021
protested,14,0.000007,0.000086
screens,7,0.000004,0.000046
disappears,5,0.000003,0.000034
kim,301,0.000157,0.001375
beret,10,0.000005,0.000063
breasts,33,0.000017,0.000189
larger,18,0.000009,0.000109
fond,4,0.000002,0.000027
rancho,10,0.000005,0.000063
stewart,161,0.000084,0.000788
replica,5,0.000003,0.000034
cones,3,0.000002,0.000021
deciding,25,0.000013,0.000147
advanced,20,0.000010,0.000120
definitely,62,0.000032,0.000334
yesiree,3,0.000002,0.000021
jethro,4,0.000002,0.000027
baptists,6,0.000003,0.000040
submit,14,0.000007,0.000086
graciously,9,0.000005,0.000058
baptist,9,0.000005,0.000058
hamptons,9,0.000005,0.000058
alec,11,0.000006,0.000069
baldwin,13,0.000007,0.000081
household,16,0.000008,0.000098
couch,43,0.000022,0.000240
treasury,101,0.000053,0.000519
brandnew,50,0.000026,0.000275
lakes,7,0.000004,0.000046
subscribe,3,0.000002,0.000021
pakistan,141,0.000074,0.000700
imply,10,0.000005,0.000063
crop,10,0.000005,0.000063
fellas,11,0.000006,0.000069
unanimous,5,0.000003,0.000034
pop,35,0.000018,0.000199
msg,4,0.000002,0.000027
rude,34,0.000018,0.000194
hosting,56,0.000029,0.000305
hurricane,230,0.000120,0.001083
tornado,9,0.000005,0.000058
birthdays,17,0.000009,0.000103
superman,11,0.000006,0.000069
steel,13,0.000007,0.000081
counted,27,0.000014,0.000157
pose,36,0.000019,0.000204
broadcaster,4,0.000002,0.000027
hurricanes,24,0.000013,0.000141
sunny,25,0.000013,0.000147
stating,5,0.000003,0.000034
oceans,4,0.000002,0.000027
offshore,22,0.000011,0.000131
drilling,55,0.000029,0.000300
classes,15,0.000008,0.000092
yoga,12,0.000006,0.000075
relaxation,3,0.000002,0.000021
figures,48,0.000025,0.000265
stretched,4,0.000002,0.000027
flaw,5,0.000003,0.000034
computers,50,0.000026,0.000275
dow,41,0.000021,0.000230
monthlong,20,0.000010,0.000120
ah,49,0.000026,0.000270
anne,16,0.000008,0.000098
heche,9,0.000005,0.000058
reception,29,0.000015,0.000168
homosexuality,18,0.000009,0.000109
sin,8,0.000004,0.000052
alcoholism,8,0.000004,0.000052
alcoholics,7,0.000004,0.000046
borrowed,10,0.000005,0.000063
whereas,27,0.000014,0.000157
passengers,89,0.000046,0.000463
scavenger,3,0.000002,0.000021
hunts,8,0.000004,0.000052
lingerie,11,0.000006,0.000069
breakin,13,0.000007,0.000081
beverly,90,0.000047,0.000468
hills,82,0.000043,0.000430
cleaning,38,0.000020,0.000215
invitation,33,0.000017,0.000189
jenny,29,0.000015,0.000168
mccarthy,7,0.000004,0.000046
playmate,14,0.000007,0.000086
gm,41,0.000021,0.000230
midwest,18,0.000009,0.000109
mississippi,34,0.000018,0.000194
homosexuals,21,0.000011,0.000125
pollen,8,0.000004,0.000052
nuisance,5,0.000003,0.000034
berserk,3,0.000002,0.000021
gosh,62,0.000032,0.000334
unofficially,3,0.000002,0.000021
marlboro,5,0.000003,0.000034
cliff,49,0.000026,0.000270
brokered,3,0.000002,0.000021
greater,10,0.000005,0.000063
italy,57,0.000030,0.000310
leaning,22,0.000011,0.000131
tower,46,0.000024,0.000255
symbolic,9,0.000005,0.000058
pandering,16,0.000008,0.000098
sister,27,0.000014,0.000157
moments,39,0.000020,0.000220
confront,6,0.000003,0.000040
cliffs,3,0.000002,0.000021
scarlet,6,0.000003,0.000040
baggage,20,0.000010,0.000120
handlers,10,0.000005,0.000063
forbes,108,0.000056,0.000551
richest,36,0.000019,0.000204
solve,58,0.000030,0.000315
bum,4,0.000002,0.000027
listened,19,0.000010,0.000114
bookstore,18,0.000009,0.000109
fought,30,0.000016,0.000173
atm,16,0.000008,0.000098
religion,39,0.000020,0.000220
downloading,9,0.000005,0.000058
danson,3,0.000002,0.000021
roughly,6,0.000003,0.000040
animated,7,0.000004,0.000046
challenge,34,0.000018,0.000194
angle,3,0.000002,0.000021
softball,11,0.000006,0.000069
cure,18,0.000009,0.000109
illness,11,0.000006,0.000069
laughter,6,0.000003,0.000040
heal,4,0.000002,0.000027
engineering,4,0.000002,0.000027
ontario,4,0.000002,0.000027
backed,26,0.000014,0.000152
mannequin,3,0.000002,0.000021
bouquet,5,0.000003,0.000034
toll,12,0.000006,0.000075
felony,12,0.000006,0.000075
payments,16,0.000008,0.000098
twothirds,13,0.000007,0.000081
abusing,9,0.000005,0.000058
blamed,62,0.000032,0.000334
blaming,83,0.000043,0.000435
condom,15,0.000008,0.000092
poopy,3,0.000002,0.000021
geez,17,0.000009,0.000103
selected,40,0.000021,0.000225
footnote,3,0.000002,0.000021
ceremonial,12,0.000006,0.000075
rerun,17,0.000009,0.000103
arriving,14,0.000007,0.000086
satellites,6,0.000003,0.000040
considers,20,0.000010,0.000120
switching,29,0.000015,0.000168
direction,24,0.000013,0.000141
catalog,10,0.000005,0.000063
victorias,7,0.000004,0.000046
posed,21,0.000011,0.000125
invaded,41,0.000021,0.000230
catering,7,0.000004,0.000046
gays,68,0.000035,0.000363
moses,8,0.000004,0.000052
conclusion,9,0.000005,0.000058
correctly,13,0.000007,0.000081
lump,4,0.000002,0.000027
brief,35,0.000018,0.000199
tenth,22,0.000011,0.000131
sightseeing,7,0.000004,0.000046
callin,4,0.000002,0.000027
trainer,21,0.000011,0.000125
peek,6,0.000003,0.000040
dome,13,0.000007,0.000081
structure,7,0.000004,0.000046
stripping,4,0.000002,0.000027
centers,22,0.000011,0.000131
transmitted,11,0.000006,0.000069
eliminated,19,0.000010,0.000114
pronounce,55,0.000029,0.000300
dustin,3,0.000002,0.000021
hoffman,4,0.000002,0.000027
harry,128,0.000067,0.000642
searching,33,0.000017,0.000189
formed,22,0.000011,0.000131
brushed,3,0.000002,0.000021
pray,45,0.000023,0.000250
tripps,9,0.000005,0.000058
hunger,23,0.000012,0.000136
porno,24,0.000013,0.000141
releases,16,0.000008,0.000098
generals,25,0.000013,0.000147
hopelessly,3,0.000002,0.000021
lust,3,0.000002,0.000021
wave,57,0.000030,0.000310
dennys,23,0.000012,0.000136
restaurants,36,0.000019,0.000204
memorable,4,0.000002,0.000027
moon,116,0.000061,0.000588
frustrated,19,0.000010,0.000114
nerve,19,0.000010,0.000114
insulting,25,0.000013,0.000147
barrel,78,0.000041,0.000411
waved,7,0.000004,0.000046
bye,6,0.000003,0.000040
naughty,9,0.000005,0.000058
geraldo,95,0.000050,0.000491
rivera,35,0.000018,0.000199
overhaul,9,0.000005,0.000058
internal,22,0.000011,0.000131
revenue,25,0.000013,0.000147
homework,11,0.000006,0.000069
assignment,4,0.000002,0.000027
poodle,5,0.000003,0.000034
melted,6,0.000003,0.000040
thankful,6,0.000003,0.000040
tickertape,3,0.000002,0.000021
chiracs,3,0.000002,0.000021
gulp,3,0.000002,0.000021
pan,6,0.000003,0.000040
riding,88,0.000046,0.000459
nickelodeon,6,0.000003,0.000040
teaming,12,0.000006,0.000075
preschool,5,0.000003,0.000034
bat,15,0.000008,0.000092
ukraine,54,0.000028,0.000295
chernobyl,6,0.000003,0.000040
reactor,10,0.000005,0.000063
iron,37,0.000019,0.000210
condoms,18,0.000009,0.000109
sterling,3,0.000002,0.000021
pled,25,0.000013,0.000147
hmo,25,0.000013,0.000147
achieved,9,0.000005,0.000058
softer,3,0.000002,0.000021
haircut,44,0.000023,0.000245
disguises,3,0.000002,0.000021
assassination,20,0.000010,0.000120
mice,12,0.000006,0.000075
chose,59,0.000031,0.000320
federation,10,0.000005,0.000063
restore,28,0.000015,0.000163
discipline,3,0.000002,0.000021
transport,5,0.000003,0.000034
unattractive,5,0.000003,0.000034
strangers,10,0.000005,0.000063
identification,5,0.000003,0.000034
christies,37,0.000019,0.000210
auction,16,0.000008,0.000098
doubles,8,0.000004,0.000052
twinkle,6,0.000003,0.000040
chipped,3,0.000002,0.000021
worker,43,0.000022,0.000240
blooded,3,0.000002,0.000021
elephants,15,0.000008,0.000092
richardson,14,0.000007,0.000086
energy,151,0.000079,0.000744
lowlevel,8,0.000004,0.000052
disguised,11,0.000006,0.000069
upheld,17,0.000009,0.000103
traded,14,0.000007,0.000086
yearsold,3,0.000002,0.000021
quietly,27,0.000014,0.000157
packing,22,0.000011,0.000131
index,10,0.000005,0.000063
stuffing,12,0.000006,0.000075
bin,1025,0.000535,0.004028
athletes,24,0.000013,0.000141
cosmopolitan,4,0.000002,0.000027
tells,75,0.000039,0.000397
hounded,3,0.000002,0.000021
neon,4,0.000002,0.000027
scooby,5,0.000003,0.000034
doo,4,0.000002,0.000027
tip,63,0.000033,0.000339
frontier,4,0.000002,0.000027
rigid,6,0.000003,0.000040
decriminalize,9,0.000005,0.000058
sodomy,25,0.000013,0.000147
acts,30,0.000016,0.000173
train,49,0.000026,0.000270
lumberjack,3,0.000002,0.000021
championships,5,0.000003,0.000034
hannibal,10,0.000005,0.000063
lechter,3,0.000002,0.000021
dim,9,0.000005,0.000058
disguise,7,0.000004,0.000046
buzzing,5,0.000003,0.000034
paranoid,16,0.000008,0.000098
clintonwas,3,0.000002,0.000021
consult,7,0.000004,0.000046
gunman,6,0.000003,0.000040
triangle,7,0.000004,0.000046
boost,59,0.000031,0.000320
roof,50,0.000026,0.000275
representation,3,0.000002,0.000021
slice,15,0.000008,0.000092
bleak,5,0.000003,0.000034
despair,4,0.000002,0.000027
batch,10,0.000005,0.000063
dope,19,0.000010,0.000114
staring,22,0.000011,0.000131
protection,66,0.000034,0.000354
prosecuted,7,0.000004,0.000046
chilly,21,0.000011,0.000125
excused,5,0.000003,0.000034
prior,13,0.000007,0.000081
offenses,4,0.000002,0.000027
midtown,9,0.000005,0.000058
pundits,41,0.000021,0.000230
premature,4,0.000002,0.000027
august,63,0.000033,0.000339
assuming,12,0.000006,0.000075
stabs,3,0.000002,0.000021
pr,15,0.000008,0.000092
adds,9,0.000005,0.000058
brings,37,0.000019,0.000210
halt,10,0.000005,0.000063
viewers,51,0.000027,0.000280
complain,27,0.000014,0.000157
leavitt,4,0.000002,0.000027
polygamy,7,0.000004,0.000046
polygamist,4,0.000002,0.000027
games,99,0.000052,0.000510
victims,35,0.000018,0.000199
madison,19,0.000010,0.000114
county,52,0.000027,0.000285
floats,3,0.000002,0.000021
contains,23,0.000012,0.000136
sample,12,0.000006,0.000075
soda,17,0.000009,0.000103
stained,22,0.000011,0.000131
legacy,18,0.000009,0.000109
democracy,63,0.000033,0.000339
oops,10,0.000005,0.000063
pompous,4,0.000002,0.000027
msnbc,85,0.000044,0.000444
impeached,60,0.000031,0.000325
hootie,6,0.000003,0.000040
blowfish,6,0.000003,0.000040
wallace,23,0.000012,0.000136
jeremy,4,0.000002,0.000027
showtime,10,0.000005,0.000063
screenplay,3,0.000002,0.000021
hangs,13,0.000007,0.000081
uncomfortable,26,0.000014,0.000152
prospects,3,0.000002,0.000021
occupying,4,0.000002,0.000027
sauce,10,0.000005,0.000063
stain,26,0.000014,0.000152
twentyfive,3,0.000002,0.000021
tags,6,0.000003,0.000040
righthand,6,0.000003,0.000040
experimented,12,0.000006,0.000075
broadcast,51,0.000027,0.000280
rehnquist,13,0.000007,0.000081
hostile,8,0.000004,0.000052
streaker,3,0.000002,0.000021
hardest,29,0.000015,0.000168
upside,23,0.000012,0.000136
cleaner,8,0.000004,0.000052
mcgwire,8,0.000004,0.000052
maris,4,0.000002,0.000027
testifies,5,0.000003,0.000034
unpleasant,6,0.000003,0.000040
humidity,5,0.000003,0.000034
courthouse,15,0.000008,0.000092
programs,43,0.000022,0.000240
determine,27,0.000014,0.000157
theory,33,0.000017,0.000189
gossip,55,0.000029,0.000300
creamed,5,0.000003,0.000034
ensure,17,0.000009,0.000103
basinger,4,0.000002,0.000027
trap,15,0.000008,0.000092
appointments,10,0.000005,0.000063
mutual,4,0.000002,0.000027
pep,11,0.000006,0.000069
concluded,19,0.000010,0.000114
graph,3,0.000002,0.000021
graphs,3,0.000002,0.000021
shops,13,0.000007,0.000081
unannounced,7,0.000004,0.000046
mideast,38,0.000020,0.000215
showdown,5,0.000003,0.000034
hotlines,3,0.000002,0.000021
moscow,35,0.000018,0.000199
contain,20,0.000010,0.000120
autographs,5,0.000003,0.000034
groupies,5,0.000003,0.000034
broker,13,0.000007,0.000081
invested,7,0.000004,0.000046
graffiti,5,0.000003,0.000034
psychologists,8,0.000004,0.000052
permanent,19,0.000010,0.000114
wraps,4,0.000002,0.000027
imaginary,18,0.000009,0.000109
worshiped,4,0.000002,0.000027
wrapping,10,0.000005,0.000063
bags,53,0.000028,0.000290
chew,9,0.000005,0.000058
ironically,64,0.000033,0.000344
interior,18,0.000009,0.000109
babbitt,6,0.000003,0.000040
conceal,6,0.000003,0.000040
thomason,4,0.000002,0.000027
coaching,6,0.000003,0.000040
lack,48,0.000025,0.000265
oxygen,11,0.000006,0.000069
televised,36,0.000019,0.000204
cue,9,0.000005,0.000058
polls,298,0.000155,0.001363
scenario,9,0.000005,0.000058
bedrooms,18,0.000009,0.000109
enemies,39,0.000020,0.000220
treats,13,0.000007,0.000081
punch,39,0.000020,0.000220
jennifer,54,0.000028,0.000295
sleazier,3,0.000002,0.000021
scrutiny,9,0.000005,0.000058
spills,5,0.000003,0.000034
appalled,5,0.000003,0.000034
consecutive,4,0.000002,0.000027
barred,7,0.000004,0.000046
examples,5,0.000003,0.000034
quiero,3,0.000002,0.000021
taco,60,0.000031,0.000325
wash,8,0.000004,0.000052
curtain,9,0.000005,0.000058
lever,16,0.000008,0.000098
erect,3,0.000002,0.000021
briefing,26,0.000014,0.000152
terrorism,117,0.000061,0.000592
sticky,3,0.000002,0.000021
troubles,24,0.000013,0.000141
spends,57,0.000030,0.000310
fining,3,0.000002,0.000021
sometime,33,0.000017,0.000189
sterile,4,0.000002,0.000027
vasectomy,4,0.000002,0.000027
liz,9,0.000005,0.000058
betray,3,0.000002,0.000021
scrambled,4,0.000002,0.000027
hbo,53,0.000028,0.000290
canaveral,8,0.000004,0.000052
pentagons,3,0.000002,0.000021
reliable,10,0.000005,0.000063
moral,39,0.000020,0.000220
rehearsals,3,0.000002,0.000021
ireland,45,0.000023,0.000250
ancestors,6,0.000003,0.000040
disturbing,26,0.000014,0.000152
nationwide,24,0.000013,0.000141
geography,8,0.000004,0.000052
identified,22,0.000011,0.000131
master,16,0.000008,0.000098
portraying,4,0.000002,0.000027
graphic,11,0.000006,0.000069
popcorn,16,0.000008,0.000098
circuit,18,0.000009,0.000109
twelve,5,0.000003,0.000034
spike,11,0.000006,0.000069
confession,14,0.000007,0.000086
polling,56,0.000029,0.000305
map,63,0.000033,0.000339
lisa,15,0.000008,0.000092
marie,16,0.000008,0.000098
angered,7,0.000004,0.000046
rhyme,9,0.000005,0.000058
stimulate,16,0.000008,0.000098
interrupting,11,0.000006,0.000069
nonstop,14,0.000007,0.000086
feather,8,0.000004,0.000052
closure,8,0.000004,0.000052
caution,9,0.000005,0.000058
technique,6,0.000003,0.000040
straighten,7,0.000004,0.000046
deposit,24,0.000013,0.000141
ann,60,0.000031,0.000325
signal,8,0.000004,0.000052
acknowledge,5,0.000003,0.000034
handgun,9,0.000005,0.000058
lecturing,10,0.000005,0.000063
tighter,15,0.000008,0.000092
letting,73,0.000038,0.000387
rallying,3,0.000002,0.000021
lapses,3,0.000002,0.000021
healing,9,0.000005,0.000058
pious,5,0.000003,0.000034
lit,37,0.000019,0.000210
accuse,16,0.000008,0.000098
afghanistan,411,0.000214,0.001811
sudan,5,0.000003,0.000034
embassies,4,0.000002,0.000027
taliban,274,0.000143,0.001265
infidel,4,0.000002,0.000027
morale,9,0.000005,0.000058
silent,11,0.000006,0.000069
scheduling,12,0.000006,0.000075
strikes,32,0.000017,0.000184
operations,11,0.000006,0.000069
cranky,12,0.000006,0.000075
unstable,11,0.000006,0.000069
strength,25,0.000013,0.000147
shipped,10,0.000005,0.000063
actress,48,0.000025,0.000265
skill,4,0.000002,0.000027
cigar,37,0.000019,0.000210
weirder,17,0.000009,0.000103
antiterrorism,9,0.000005,0.000058
laden,808,0.000421,0.003275
juicy,5,0.000003,0.000034
prayed,11,0.000006,0.000069
forgive,23,0.000012,0.000136
refuses,22,0.000011,0.000131
distributed,3,0.000002,0.000021
contained,27,0.000014,0.000157
exploding,20,0.000010,0.000120
impressions,4,0.000002,0.000027
facts,94,0.000049,0.000487
shore,27,0.000014,0.000157
frost,3,0.000002,0.000021
reveals,20,0.000010,0.000120
regrets,20,0.000010,0.000120
gephardt,33,0.000017,0.000189
cheered,10,0.000005,0.000063
boat,34,0.000018,0.000194
trusted,15,0.000008,0.000092
suggestion,5,0.000003,0.000034
sakes,8,0.000004,0.000052
distancing,16,0.000008,0.000098
leash,9,0.000005,0.000058
dershowitz,7,0.000004,0.000046
portland,12,0.000006,0.000075
elephant,31,0.000016,0.000178
rarely,12,0.000006,0.000075
conditions,24,0.000013,0.000141
bonnie,5,0.000003,0.000034
disrupted,9,0.000005,0.000058
areas,41,0.000021,0.000230
frigid,3,0.000002,0.000021
obscure,3,0.000002,0.000021
steam,13,0.000007,0.000081
addressed,72,0.000038,0.000383
worthless,14,0.000007,0.000086
organizer,3,0.000002,0.000021
forever,28,0.000015,0.000163
applause,45,0.000023,0.000250
cheers,11,0.000006,0.000069
confronted,10,0.000005,0.000063
reverend,50,0.000026,0.000275
adorable,10,0.000005,0.000063
stunned,88,0.000046,0.000459
drown,6,0.000003,0.000040
groove,4,0.000002,0.000027
cleaned,12,0.000006,0.000075
hilton,79,0.000041,0.000416
minibar,6,0.000003,0.000040
broadcasts,45,0.000023,0.000250
rubin,3,0.000002,0.000021
fundamentally,5,0.000003,0.000034
albums,3,0.000002,0.000021
rocker,7,0.000004,0.000046
tab,12,0.000006,0.000075
follows,10,0.000005,0.000063
deli,15,0.000008,0.000092
terribly,8,0.000004,0.000052
testosterone,9,0.000005,0.000058
releasing,46,0.000024,0.000255
indiana,87,0.000045,0.000454
cookout,6,0.000003,0.000040
grilling,8,0.000004,0.000052
burgers,10,0.000005,0.000063
racy,4,0.000002,0.000027
remarks,50,0.000026,0.000275
packed,16,0.000008,0.000098
spoiled,7,0.000004,0.000046
publication,4,0.000002,0.000027
swinging,9,0.000005,0.000058
adulterous,5,0.000003,0.000034
deduction,7,0.000004,0.000046
occurred,17,0.000009,0.000103
limerick,4,0.000002,0.000027
finishing,26,0.000014,0.000152
bs,11,0.000006,0.000069
gerald,21,0.000011,0.000125
trails,7,0.000004,0.000046
helicopter,41,0.000021,0.000230
goodbye,39,0.000020,0.000220
mace,10,0.000005,0.000063
sincere,10,0.000005,0.000063
fantasy,24,0.000013,0.000141
nightly,10,0.000005,0.000063
counting,54,0.000028,0.000295
corporate,31,0.000016,0.000178
throughout,26,0.000014,0.000152
prisons,11,0.000006,0.000069
approached,9,0.000005,0.000058
recognizing,3,0.000002,0.000021
achievements,3,0.000002,0.000021
truly,22,0.000011,0.000131
material,31,0.000016,0.000178
witches,3,0.000002,0.000021
witch,36,0.000019,0.000204
dicaprio,23,0.000012,0.000136
sinking,8,0.000004,0.000052
boxes,28,0.000015,0.000163
abandon,5,0.000003,0.000034
signing,70,0.000037,0.000373
proclamation,6,0.000003,0.000040
flashed,9,0.000005,0.000058
thong,17,0.000009,0.000103
monitoring,14,0.000007,0.000086
practical,7,0.000004,0.000046
skipped,18,0.000009,0.000109
eyebrows,10,0.000005,0.000063
sentences,15,0.000008,0.000092
hmm,10,0.000005,0.000063
apologies,10,0.000005,0.000063
possibilities,3,0.000002,0.000021
censured,4,0.000002,0.000027
literate,3,0.000002,0.000021
disappearing,8,0.000004,0.000052
feeding,14,0.000007,0.000086
frenzy,8,0.000004,0.000052
hips,3,0.000002,0.000021
drawing,24,0.000013,0.000141
comparisons,5,0.000003,0.000034
luncheon,11,0.000006,0.000069
highfived,4,0.000002,0.000027
lion,18,0.000009,0.000109
saigon,3,0.000002,0.000021
resisting,4,0.000002,0.000027
rage,14,0.000007,0.000086
rabbi,12,0.000006,0.000075
carefully,15,0.000008,0.000092
proposals,17,0.000009,0.000103
bachelor,32,0.000017,0.000184
geraldine,8,0.000004,0.000052
ferraro,9,0.000005,0.000058
bingo,11,0.000006,0.000069
underestimated,4,0.000002,0.000027
mileage,7,0.000004,0.000046
temptation,18,0.000009,0.000109
motion,20,0.000010,0.000120
advisors,34,0.000018,0.000194
havel,4,0.000002,0.000027
penalize,3,0.000002,0.000021
beijing,45,0.000023,0.000250
hotels,16,0.000008,0.000098
vacuum,11,0.000006,0.000069
cleaners,7,0.000004,0.000046
counseling,19,0.000010,0.000114
weekly,45,0.000023,0.000250
ministers,22,0.000011,0.000131
rulers,3,0.000002,0.000021
whack,9,0.000005,0.000058
whacking,3,0.000002,0.000021
hosts,12,0.000006,0.000075
mtvs,6,0.000003,0.000040
mostly,67,0.000035,0.000359
ignoring,19,0.000010,0.000114
altogether,3,0.000002,0.000021
deliberately,11,0.000006,0.000069
misspelled,3,0.000002,0.000021
fits,10,0.000005,0.000063
temper,21,0.000011,0.000125
dodger,9,0.000005,0.000058
hypocrisy,6,0.000003,0.000040
illustrated,8,0.000004,0.000052
raging,14,0.000007,0.000086
hormones,9,0.000005,0.000058
gel,11,0.000006,0.000069
morality,6,0.000003,0.000040
explicit,7,0.000004,0.000046
payperview,9,0.000005,0.000058
freshman,9,0.000005,0.000058
cracker,19,0.000010,0.000114
slot,18,0.000009,0.000109
shaken,6,0.000003,0.000040
rapper,26,0.000014,0.000152
blues,4,0.000002,0.000027
chair,64,0.000033,0.000344
milan,3,0.000002,0.000021
modeling,7,0.000004,0.000046
polka,3,0.000002,0.000021
dot,3,0.000002,0.000021
sosa,5,0.000003,0.000034
inning,7,0.000004,0.000046
gatherings,3,0.000002,0.000021
muck,3,0.000002,0.000021
scientific,13,0.000007,0.000081
enhanced,9,0.000005,0.000058
fourhour,11,0.000006,0.000069
references,9,0.000005,0.000058
lineup,17,0.000009,0.000103
geniuses,6,0.000003,0.000040
total,70,0.000037,0.000373
rosh,12,0.000006,0.000075
hashanah,10,0.000005,0.000063
reflect,10,0.000005,0.000063
sins,6,0.000003,0.000040
hunch,4,0.000002,0.000027
swore,17,0.000009,0.000103
directors,7,0.000004,0.000046
youthful,3,0.000002,0.000021
indiscretion,3,0.000002,0.000021
dads,23,0.000012,0.000136
jumbo,6,0.000003,0.000040
spaces,3,0.000002,0.000021
forth,26,0.000014,0.000152
channels,23,0.000012,0.000136
warn,28,0.000015,0.000163
splitting,10,0.000005,0.000063
hairs,5,0.000003,0.000034
holder,26,0.000014,0.000152
updates,5,0.000003,0.000034
depending,12,0.000006,0.000075
designer,10,0.000005,0.000063
depends,22,0.000011,0.000131
apparent,5,0.000003,0.000034
choosing,24,0.000013,0.000141
lecture,14,0.000007,0.000086
popularity,63,0.000033,0.000339
b,28,0.000015,0.000163
fail,24,0.000013,0.000141
forgetting,10,0.000005,0.000063
threesome,3,0.000002,0.000021
transcripts,6,0.000003,0.000040
translated,8,0.000004,0.000052
languages,9,0.000005,0.000058
plain,12,0.000006,0.000075
urges,5,0.000003,0.000034
wednesdays,6,0.000003,0.000040
t,15,0.000008,0.000092
weirdest,6,0.000003,0.000040
assure,6,0.000003,0.000040
talker,3,0.000002,0.000021
accomplishment,12,0.000006,0.000075
stranger,21,0.000011,0.000125
interviews,40,0.000021,0.000225
silliness,3,0.000002,0.000021
bullets,28,0.000015,0.000163
birds,42,0.000022,0.000235
loaded,25,0.000013,0.000147
prescription,45,0.000023,0.000250
info,5,0.000003,0.000034
moms,29,0.000015,0.000168
reaches,9,0.000005,0.000058
wasted,23,0.000012,0.000136
fieger,3,0.000002,0.000021
appeals,31,0.000016,0.000178
stealth,7,0.000004,0.000046
cubans,55,0.000029,0.000300
thrilled,59,0.000031,0.000320
satanic,3,0.000002,0.000021
salman,3,0.000002,0.000021
hunted,9,0.000005,0.000058
crazed,7,0.000004,0.000046
fundamentalists,9,0.000005,0.000058
stronger,18,0.000009,0.000109
rick,461,0.000240,0.002004
scoop,4,0.000002,0.000027
sticking,18,0.000009,0.000109
cosmetics,4,0.000002,0.000027
pressuring,5,0.000003,0.000034
campbell,12,0.000006,0.000075
insensitive,20,0.000010,0.000120
jew,11,0.000006,0.000069
bibi,4,0.000002,0.000027
puerto,48,0.000025,0.000265
rico,28,0.000015,0.000163
rand,61,0.000032,0.000329
moaning,4,0.000002,0.000027
hillbilly,6,0.000003,0.000040
brilliant,16,0.000008,0.000098
arafats,23,0.000012,0.000136
earn,19,0.000010,0.000114
starstudded,4,0.000002,0.000027
reversal,9,0.000005,0.000058
values,44,0.000023,0.000245
adam,12,0.000006,0.000075
defective,9,0.000005,0.000058
winfrey,45,0.000023,0.000250
uncovered,10,0.000005,0.000063
crazier,18,0.000009,0.000109
screening,31,0.000016,0.000178
amy,23,0.000012,0.000136
fisher,7,0.000004,0.000046
financially,10,0.000005,0.000063
dispute,13,0.000007,0.000081
straightforward,4,0.000002,0.000027
tends,8,0.000004,0.000052
feared,5,0.000003,0.000034
patch,9,0.000005,0.000058
bonanza,4,0.000002,0.000027
coke,38,0.000020,0.000215
whereabouts,8,0.000004,0.000052
chile,9,0.000005,0.000058
bette,5,0.000003,0.000034
midler,6,0.000003,0.000040
facials,4,0.000002,0.000027
topless,19,0.000010,0.000114
sagging,4,0.000002,0.000027
staffer,20,0.000010,0.000120
blumenthal,10,0.000005,0.000063
ownership,6,0.000003,0.000040
sprayed,5,0.000003,0.000034
artificial,13,0.000007,0.000081
substances,5,0.000003,0.000034
